FullTranslation,FullOriginal,Artist,Song Name,ISO 639-1 Language Code
,"يوم شفتك . شفتها وين وبأية عين؟
يوم شفتك . شفتها وين وبأية عين؟
شفتك عشفتها، شفتك كشفتك
شفتك عشفتها، شفتك كشفتك
يوم شفتك . شفتها وين وبأية عين؟

قلبي غط وكلُّ راح برمشة عين
قلي وينك يا ننينيك إلك عين؟
شفتك عشفتها، شفتك كشفتك
شفتك عشفتها، شفتك كشفتك
قلبي غط وكلُّ راح برمشة عين

غرقت عينك شارد وينك أنتا فين؟
شكلك ضايع بيني وبينا ع الميلين
أختك عَ أختا، شفتك كشفتك
ملبك متوهني، مشربكلي عقلك
أختك عَ أختا، شفتك كشفتك
ملبك متوهني، مشربكلي عقلك
شارد وينك أنت فين؟

يوم شفتك . شفتها وين وبأية عين؟
يوم شفتك . شفتها وين وبأية عين؟
شفتك عشفتها، شفتك كشفتك
شفتك عشفتها، شفتك أفشتك
شفتك عشفتها، شفتك كشفتك
شفتك عشفتها، شفتك أفشتك
يوم شفتك . شفتها وين وبأية عين؟",Soapkills,Cheftak (Paris Version),en
"Oh lovable, oh deluded",يا محبوب يا موهوم,Soapkills,Wahch,en
The touch of your hands beats me,لمسة إيدك بتغلبني,Soapkills,Wahch,en
"The blink of my eyes, my eyes are for you",رمش عيوني، عيوني ليك,Soapkills,Wahch,en
"Sure glad, happy with women around you",لازم فرحان، مبسوط بزحمة الستات عليك,Soapkills,Wahch,en
Being a victim of victims of the cruelty of your heart to me,كوني ضحية من ضحايا قسوة قلبك ليه,Soapkills,Wahch,en
The blame on me,الحق عليًّ مكتفة إيديا,Soapkills,Wahch,en
Hoping you be free for me,متأملة أنك تفضى ليًّ,Soapkills,Wahch,en
I tried to hide my feelings for you,حاول تداري شعوري ليك,Soapkills,Wahch,en
"My rhythm loss, I've ruled my mind",فاقدة إيقاعي حكمت عقلي,Soapkills,Wahch,en
"Oh lovable, oh deluded
The touch of your hands beats me

The blink of my eyes, my eyes are for you

Sure glad, happy with women around you
Being a victim of victims of the cruelty of your heart to me



The blame on me
Hoping you be free for me

Sure glad, happy with women around you
Being a victim of victims of the cruelty of your heart to me
Sure glad, happy with women around you
Being a victim of victims of the cruelty of your heart to me


I tried to hide my feelings for you
My rhythm loss, I've ruled my mind


Sure glad, happy with women around you
Being a victim of victims of the cruelty of your heart to me
Sure glad, happy with women around you
Being a victim of victims of the cruelty of your heart to me","يا محبوب يا موهوم
لمسة إيدك بتغلبني
أخر نظرة ما لك ذابح
رمش عيوني، عيوني ليك

لازم فرحان، مبسوط بزحمة الستات عليك
كوني ضحية من ضحايا قسوة قلبك ليه

أه يا قاسي أه يا ناسي
وعدك ليًّ ما توعدنيش
الحق عليًّ مكتفة إيديا
متأملة أنك تفضى ليًّ

لازم فرحان، مبسوط بزحمة الستات عليك
كوني ضحية من ضحايا قسوة قلبك ليه
لازم فرحان، مبسوط بزحمة الستات عليك
كوني ضحية من ضحايا قسوة قلبك ليه

حاسب يا غالي حافظ عليًّ
حاول تداري شعوري ليك
فاقدة إيقاعي حكمت عقلي
حقن في قلبي، نسياني لأنك

طبعا فرحان، مبسوط بزحمة الستات عليك
كوني ضحية من ضحايا قسوة قلبك ليه
طبعًا فرحان، مبسوط بزحمة الستات عليك
كوني ضحية من ضحايا قسوة قلبك ليه",Soapkills,Wahch,en
"You look cute, my life, bring me breakfast",شكلك مهضوم، حياتي، جبلي الترويقة,Soapkills,Kasdoura,en
"I'm craving ful, hummus and toum and a slice of marquqah bread",جاي عبالي فول، حمص وتوم وخبزة مرقوقة,Soapkills,Kasdoura,en
"Comfort me, my love comfort me",ريحني، حبيبي ريحني,Soapkills,Kasdoura,en
Let me sleep,خليني نام,Soapkills,Kasdoura,en
Tell me what you dream what I dream,خبرني شو بتحلم شو بحلم,Soapkills,Kasdoura,en
"I wander and my heart is with you, I'm for you always .",... بسوح وقلبي معك، أنا إلك عطول,Soapkills,Kasdoura,en
"Put me in a good mood, don't fear that I'll get bored",روقني، ما تخاف تزهقني,Soapkills,Kasdoura,en
I crave to sleep,جاي ععبالي نام,Soapkills,Kasdoura,en
"At your place, in your house, on your bed",عندك، في بيتك، على تختك,Soapkills,Kasdoura,en
Let us be ... together,خلينا نكون ... سوا,Soapkills,Kasdoura,en
Pamper me between your hands,دلعني بين إيديك,Soapkills,Kasdoura,en
"Bravo, well done",عفاك,Soapkills,Kasdoura,en
"You look cute, my life, bring me breakfast
I'm craving ful, hummus and toum and a slice of marquqah bread
Comfort me, my love comfort me
Let me sleep
Tell me what you dream what I dream
Let me sleep
I wander and my heart is with you, I'm for you always .

Put me in a good mood, don't fear that I'll get bored
I crave to sleep
At your place, in your house, on your bed
Let us be ... together
Pamper me between your hands
Bravo, well done

You look cute, my life, bring me breakfast
I'm craving ful, hummus and toum and a slice of marquqah bread
You look cute, my life, bring me breakfast

You look cute, my life, bring me breakfast
I'm craving ful, hummus and toum and a slice of marquqah bread
You look cute, my life, bring me breakfast","شكلك مهضوم، حياتي، جبلي الترويقة
جاي عبالي فول، حمص وتوم وخبزة مرقوقة
ريحني، حبيبي ريحني
خليني نام
خبرني شو بتحلم شو بحلم
خليني نام
... بسوح وقلبي معك، أنا إلك عطول

روقني، ما تخاف تزهقني
جاي ععبالي نام
عندك، في بيتك، على تختك
خلينا نكون ... سوا
دلعني بين إيديك
عفاك

شكلك مهضوم، حياتي، جبلي الترويقة
جاي عبالي فول، حمص وتوم وخبزة مرقوقة
شكلك مهضوم، حياتي، جبلي الترويقة

شكلك مهضوم، حياتي، جبلي الترويقة
جاي عبالي فول، حمص وتوم وخبزة مرقوقة
شكلك مهضوم، حياتي، جبلي الترويقة",Soapkills,Kasdoura,en
Let's ride the bus,تع نركب اوتوبيس,Soapkills,Aranis,en
go around the museum ، the corniche,"دورة, متحف, كرنيش",Soapkills,Aranis,en
Come close to the sweet taste,قرب عالطيب قرب,Soapkills,Aranis,en
Experience the feel of my lips,لمست شفافي جرب,Soapkills,Aranis,en
Watermelon on the knife,عالسكين يا بطيخ,Soapkills,Aranis,en
Broadbean Broadbean corncobs,"طرمس, طرمس عرانيس",Soapkills,Aranis,en
Everything is clean Everything is slim,"كل نظيف, كل نحيف",Soapkills,Aranis,en
everything is cool Everything is so cute,"كل مهفهف, كل لطيف",Soapkills,Aranis,en
oh you cute man be nice with the girls oh cute man,"اه يا لطيف, تطلطف بالصبايا, يا لطيف, يا لطيف",Soapkills,Aranis,en
Noise and congestion .. a new market,"هرج ومرج, سوق فرنش",Soapkills,Aranis,en
Taxi travel easily,تاكسيات بتكرج كرج,Soapkills,Aranis,en
everthing is clean and everything is new,"كل نظيف, كل خلنج",Soapkills,Aranis,en
Markets as a chessboard,والاسواق زي الشطرنج,Soapkills,Aranis,en
clean and lovely just like snow,نظيفة ظريفة زي الثلج,Soapkills,Aranis,en
and the girls are lovely and cute,والبنات بتغنج غنج,Soapkills,Aranis,en
"

















Let's ride the bus
go around the museum ، the corniche



Come close to the sweet taste
Experience the feel of my lips



Watermelon on the knife
Broadbean Broadbean corncobs



Everything is clean Everything is slim
everything is cool Everything is so cute
oh you cute man be nice with the girls oh cute man

Noise and congestion .. a new market
Taxi travel easily
everthing is clean and everything is new
Markets as a chessboard

clean and lovely just like snow

and the girls are lovely and cute



Everything is clean Everything is slim
everything is cool Everything is so cute
Everything is clean Everything is slim
everything is cool Everything is so cute
oh you cute man be nice with the girls oh cute man
Everything is clean Everything is slim
everything is cool Everything is so cute



","عرانيس عرانيس
بويا تيرلو
بويا تيرلو

عرانيس عرانيس عرانيس
عرانيس عرانيس عرانيس
بويا تيرلو
بويا تيرلو

عرانيس عرانيس
بويا تيرلو
بويا تيرلو

عرانيس عرانيس عرانيس
عرانيس عرانيس عرانيس
بويا تيرلو
بويا تيرلو

تع نركب اوتوبيس
دورة, متحف, كرنيش
بويا تيرلو
بويا تيرلو

قرب عالطيب قرب
لمست شفافي جرب
بويا تيرلو
بويا تيرلو

عالسكين يا بطيخ
طرمس, طرمس عرانيس
بويا تيرلو
بويا تيرلو تيرلو تيرلو

كل نظيف, كل نحيف
كل مهفهف, كل لطيف
اه يا لطيف, تطلطف بالصبايا, يا لطيف, يا لطيف

هرج ومرج, سوق فرنش
تاكسيات بتكرج كرج
كل نظيف, كل خلنج
والاسواق زي الشطرنج

نظيفة ظريفة زي الثلج
فيها الشبان تتمايل
والبنات بتغنج غنج

كل نظيف (كل نظيف), كل نحيف (كل نحيف)
كل مهفهف (كل مهفهف), كل لطيف (كل لطيف)
كل نظيف, كل نحيف
كل مهفهف, كل لطيف
كل نظيف, كل نحيف
كل مهفهف, كل لطيف
اه يا لطيف, تطلطف بالصبايا, يا لطيف, يا لطيف
كل نظيف, كل نحيف
كل مهفهف, كل لطيف

عرانيس عرانيس
بويا تيرلو
بويا تيرلو",Soapkills,Aranis,en
Why are you mad?,ليه زعلان ليه,Soapkills,Leh Zaalen,en
I'm not mad,أنا مش زعلانه,Soapkills,Leh Zaalen,en
Why are you sc,ليه خيفان ليه,Soapkills,Leh Zaalen,en
I'm not scared?,أنا مش خيفانه,Soapkills,Leh Zaalen,en
Why are you running away?,ليه هربان ليه,Soapkills,Leh Zaalen,en
I'm not running away,أنا مش هربانه,Soapkills,Leh Zaalen,en
Why are you crying?,ليه بكيان ليه,Soapkills,Leh Zaalen,en
I'm not crying,انا مش بكيانه,Soapkills,Leh Zaalen,en
And why? and why?,و ليه، وليه,Soapkills,Leh Zaalen,en
Aren't you a man and why?,منك رجال و ليه,Soapkills,Leh Zaalen,en
What is this man,شو ها الرجال و لاه,Soapkills,Leh Zaalen,en
"Why are you mad?
I'm not mad
Why are you sc
I'm not scared?

Why are you running away?
I'm not running away
Why are you crying?
I'm not crying

And why? and why?
Aren't you a man and why?
Aren't you a man and why?
Aren't you a man and why?

What is this man
Why are you mad?
I'm not mad
Why are you sc

I'm not scared?
Why are you running away?
I'm not running away
Why are you crying?

I'm not crying
And why? and why?
Aren't you a man and why?
Aren't you a man and why?

Aren't you a man and why?
What is this man","ليه زعلان ليه
أنا مش زعلانه
ليه خيفان ليه
أنا مش خيفانه

ليه هربان ليه
أنا مش هربانه
ليه بكيان ليه
انا مش بكيانه

و ليه، وليه
منك رجال و ليه
منك رجال و ليه
منك رجال و ليه

شو ها الرجال و لاه
ليه زعلان ليه
أنا مش زعلانه
ليه خيفان ليه

أنا مش خيفانه
ليه هربان ليه
أنا مش هربانه
ليه بكيان ليه

أنا مش بكيانه
و ليه، وليه
منك رجال و ليه
منك رجال و ليه

منك رجال و ليه
شو ها الرجال و لاه",Soapkills,Leh Zaalen,en
